"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"69","medusahead10","FWS","Sheldon National Wildlife Refuge",573641,577495,0.99,"0",17
"70","medusahead10","FWS","Ruby Lake National Wildlife Refuge",39230,39951,0.98,"0",8
"71","medusahead10","FWS","Deer Flat National Wildlife Refuge",11237,11623,0.97,"0",3
"72","medusahead10","FWS","Tule Lake National Wildlife Refuge",36233,38908,0.93,"0",6
"73","medusahead10","FWS","Malheur National Wildlife Refuge",170981,188072,0.91,"Yes (1)",0
"74","medusahead10","FWS","Sacramento River National Wildlife Refuge",10461,11649,0.9,"0",10
"75","medusahead10","FWS","Minidoka National Wildlife Refuge",19803,22525,0.88,"0",14
"76","medusahead10","FWS","Lower Klamath National Wildlife Refuge",46941,53130,0.88,"0",0
"77","medusahead10","FWS","Hart Mountain National Antelope Refuge",231849,280286,0.83,"0",9
"78","medusahead10","FWS","Turnbull National Wildlife Refuge",15037,19213,0.78,"0",7
"79","medusahead10","FWS","Delevan National Wildlife Refuge",4366,5796,0.75,"0",17
"80","medusahead10","FWS","Ankeny National Wildlife Refuge",2094,2804,0.75,"0",49
"81","medusahead10","FWS","Cold Springs National Wildlife Refuge",2276,3124,0.73,"0",77
"82","medusahead10","FWS","Columbia National Wildlife Refuge",19880,29287,0.68,"0",36
"83","medusahead10","FWS","San Pablo Bay National Wildlife Refuge",12337,20224,0.61,"0",25
"84","medusahead10","FWS","Bear Valley National Wildlife Refuge",2401,4223,0.57,"0",4
"85","medusahead10","FWS","Sutter National Wildlife Refuge",1476,2653,0.56,"0",30
"86","medusahead10","FWS","Bear River Migratory Bird Refuge",40924,76458,0.54,"0",3
"87","medusahead10","FWS","Fish Springs National Wildlife Refuge",9785,17971,0.54,"0",48
"88","medusahead10","FWS","Saddle Mountain National Wildlife Refuge",78908,164309,0.48,"0",38
"89","medusahead10","FWS","Mcnary National Wildlife Refuge",7641,15844,0.48,"0",64
"90","medusahead10","FWS","Baskett Slough National Wildlife Refuge",668,2516,0.27,"0",49
"91","medusahead10","FWS","Blue Ridge National Wildlife Refuge",230,906,0.25,"0",26
"92","medusahead10","FWS","Colusa National Wildlife Refuge",1011,4082,0.25,"0",17
"93","medusahead10","FWS","Desert National Wildlife Range",376076,1636997,0.23,"0",21
"94","medusahead10","FWS","Merced National Wildlife Refuge",707,3816,0.19,"0",45
"95","medusahead10","FWS","Ridgefield National Wildlife Refuge",649,4991,0.13,"0",36
"96","medusahead10","FWS","National Bison Range",2109,18850,0.11,"0",4
"97","medusahead10","FWS","Bitter Creek National Wildlife Refuge",889,15035,0.06,"0",122
"98","medusahead10","FWS","Fallon National Wildlife Refuge",987,17955,0.05,"0",50
"99","medusahead10","FWS","William L. Finley National Wildlife Refuge",235,5708,0.04,"0",73
"100","medusahead10","FWS","San Andres National Wildlife Refuge",2317,60090,0.04,"0",314
"101","medusahead10","FWS","Stillwater National Wildlife Refuge",3676,83029,0.04,"0",55
"102","medusahead10","FWS","Pathfinder National Wildlife Refuge",589,16851,0.03,"0",157
"103","medusahead10","FWS","Tualatin River National Wildlife Refuge",24,1315,0.02,"0",27
"104","medusahead10","FWS","Stone Lakes National Wildlife Refuge",156,6404,0.02,"0",40
"105","medusahead10","FWS","Sangre De Cristo Conservation Area",3345,166402,0.02,"0",189
"106","medusahead10","FWS","Upper Klamath National Wildlife Refuge",223,25613,0.01,"0",12
"107","medusahead10","FWS","Klamath Marsh National Wildlife Refuge",508,41869,0.01,"0",29
"108","medusahead10","FWS","Sevilleta National Wildlife Refuge",2619,227856,0.01,"0",240
"109","medusahead10","FWS","Silvio O. Conte National Fish and Wildlife Refuge",0,38352,0,"0",1601
"110","medusahead10","FWS","Sauta Cave National Wildlife Refuge",0,266,0,"0",1235
"111","medusahead10","FWS","Union Slough National Wildlife Refuge",0,2908,0,"0",609
"112","medusahead10","FWS","St. Catherine Creek National Wildlife Refuge",0,25428,0,"0",1061
"113","medusahead10","FWS","Whittlesey Creek National Wildlife Refuge",0,359,0,"0",740
"114","medusahead10","FWS","Caddo Lake National Wildlife Refuge",0,8415,0,"0",889
"115","medusahead10","FWS","Shiawassee National Wildlife Refuge",0,10186,0,"0",1073
"116","medusahead10","FWS","Pilot Knob National Wildlife Refuge",0,97,0,"0",952
"117","medusahead10","FWS","Ten Thousand Islands National Wildlife Refuge",0,33944,0,"0",1759
"118","medusahead10","FWS","Passage Key National Wildlife Refuge",0,63,0,"0",1640
"119","medusahead10","FWS","Pahranagat National Wildlife Refuge",0,4672,0,"0",75
"120","medusahead10","FWS","Sullys Hill National Game Preserve",0,1630,0,"0",431
"121","medusahead10","FWS","Willow Lake National Wildlife Refuge",0,1,0,"0",435
"122","medusahead10","FWS","Lake Andes National Wildlife Refuge",0,1133,0,"0",410
"123","medusahead10","FWS","Presquile National Wildlife Refuge",0,1297,0,"0",1547
"124","medusahead10","FWS","Cedar Island National Wildlife Refuge",0,14328,0,"0",1676
"125","medusahead10","FWS","James River National Wildlife Refuge",0,4317,0,"0",1555
"126","medusahead10","FWS","Cherry Valley National Wildlife Refuge",0,2605,0,"0",1529
"127","medusahead10","FWS","St. Johns National Wildlife Refuge",0,6460,0,"0",1690
"128","medusahead10","FWS","Black Coulee National Wildlife Refuge",0,683,0,"0",271
"129","medusahead10","FWS","Stewart B. Mckinney National Wildlife Refuge",0,1035,0,"0",1605
"130","medusahead10","FWS","Swan River National Wildlife Refuge",0,1933,0,"0",49
"131","medusahead10","FWS","Ozark Cavefish National Wildlife Refuge",0,41,0,"0",770
"132","medusahead10","FWS","Great Dismal Swamp National Wildlife Refuge",0,113358,0,"0",1602
"133","medusahead10","FWS","San Luis National Wildlife Refuge",0,17874,0,"0",49
"134","medusahead10","FWS","White Lake National Wildlife Refuge",0,1044,0,"0",215
