"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"79","yellowstarThistle","FWS","Mckay Creek National Wildlife Refuge",1845,1827,1,"Yes (2)",0
"80","yellowstarThistle","FWS","Shawangunk Grasslands National Wildlife Refuge",597,598,1,"0",64
"81","yellowstarThistle","FWS","Wapato Lake National Wildlife Refuge",963,953,1,"0",2
"82","yellowstarThistle","FWS","Toppenish National Wildlife Refuge",2053,2039,1,"0",9
"83","yellowstarThistle","FWS","Franz Lake National Wildlife Refuge",587,583,1,"0",19
"84","yellowstarThistle","FWS","Wapanocca National Wildlife Refuge",5688,5624,1,"0",87
"85","yellowstarThistle","FWS","Steigerwald Lake National Wildlife Refuge",1126,1116,1,"0",27
"86","yellowstarThistle","FWS","Ankeny National Wildlife Refuge",2827,2804,1,"0",31
"87","yellowstarThistle","FWS","Rocky Mountain Arsenal National Wildlife Refuge",16075,15992,1,"0",11
"88","yellowstarThistle","FWS","Modoc National Wildlife Refuge",7078,7133,0.99,"0",2
"89","yellowstarThistle","FWS","Ozark Cavefish National Wildlife Refuge",41,41,0.99,"0",301
"90","yellowstarThistle","FWS","Marin Islands National Wildlife Refuge",462,469,0.99,"0",2
"91","yellowstarThistle","FWS","Lost Trail National Wildlife Refuge",8935,9017,0.99,"0",58
"92","yellowstarThistle","FWS","Bear River Migratory Bird Refuge",75683,76458,0.99,"0",1
"93","yellowstarThistle","FWS","Deer Flat National Wildlife Refuge",11556,11623,0.99,"Yes (1)",0
"94","yellowstarThistle","FWS","Wheeler National Wildlife Refuge",33520,33884,0.99,"0",157
"95","yellowstarThistle","FWS","Pixley National Wildlife Refuge",7437,7476,0.99,"0",2
"96","yellowstarThistle","FWS","Ohio River Islands National Wildlife Refuge",3242,3282,0.99,"0",131
"97","yellowstarThistle","FWS","Rocky Flats National Wildlife Refuge",6462,6539,0.99,"0",2
"98","yellowstarThistle","FWS","Sacramento National Wildlife Refuge",10679,10917,0.98,"Yes (1)",0
"99","yellowstarThistle","FWS","Ridgefield National Wildlife Refuge",4888,4991,0.98,"0",12
"100","yellowstarThistle","FWS","Blue Ridge National Wildlife Refuge",877,906,0.97,"0",10
"101","yellowstarThistle","FWS","Wichita Mountains Wildlife Refuge",57462,59022,0.97,"0",130
"102","yellowstarThistle","FWS","Minidoka National Wildlife Refuge",21883,22525,0.97,"0",58
"103","yellowstarThistle","FWS","Lower Klamath National Wildlife Refuge",51311,53130,0.97,"Yes (2)",0
"104","yellowstarThistle","FWS","Erie National Wildlife Refuge",8587,8853,0.97,"0",123
"105","yellowstarThistle","FWS","Balcones Canyonlands National Wildlife Refuge",24708,25517,0.97,"0",0
"106","yellowstarThistle","FWS","Tule Lake National Wildlife Refuge",37493,38908,0.96,"0",4
"107","yellowstarThistle","FWS","Billy Frank Jr. Nisqually National Wildlife Refuge",5530,5776,0.96,"0",50
"108","yellowstarThistle","FWS","Mountain Bogs National Wildlife Refuge",34,35,0.96,"0",147
"109","yellowstarThistle","FWS","Two Ponds National Wildlife Refuge",67,70,0.96,"0",7
"110","yellowstarThistle","FWS","Presquile National Wildlife Refuge",1215,1297,0.94,"0",299
"111","yellowstarThistle","FWS","Key Cave National Wildlife Refuge",990,1053,0.94,"0",118
"112","yellowstarThistle","FWS","Mingo National Wildlife Refuge",20441,21699,0.94,"0",203
"113","yellowstarThistle","FWS","Featherstone National Wildlife Refuge",314,338,0.93,"0",228
"114","yellowstarThistle","FWS","Malheur National Wildlife Refuge",174321,188072,0.93,"0",3
"115","yellowstarThistle","FWS","Muscatatuck National Wildlife Refuge",7255,7832,0.93,"0",162
"116","yellowstarThistle","FWS","Sheldon National Wildlife Refuge",533555,577495,0.92,"0",1
"117","yellowstarThistle","FWS","Occoquan Bay National Wildlife Refuge",582,634,0.92,"0",226
"118","yellowstarThistle","FWS","Great Thicket National Wildlife Refuge",129,144,0.9,"0",72
"119","yellowstarThistle","FWS","Watercress Darter National Wildlife Refuge",22,24,0.9,"0",166
"120","yellowstarThistle","FWS","Hart Mountain National Antelope Refuge",249733,280286,0.89,"0",10
"121","yellowstarThistle","FWS","Canaan Valley National Wildlife Refuge",14829,16688,0.89,"0",272
"122","yellowstarThistle","FWS","Turnbull National Wildlife Refuge",17108,19213,0.89,"0",22
"123","yellowstarThistle","FWS","Lake Isom National Wildlife Refuge",1613,1813,0.89,"0",155
"124","yellowstarThistle","FWS","Tishomingo National Wildlife Refuge",14549,16467,0.88,"0",68
"125","yellowstarThistle","FWS","San Diego National Wildlife Refuge",10722,12524,0.86,"0",8
"126","yellowstarThistle","FWS","San Joaquin River National Wildlife Refuge",9728,11312,0.86,"Yes (3)",0
"127","yellowstarThistle","FWS","Bald Knob National Wildlife Refuge",13461,15613,0.86,"0",117
"128","yellowstarThistle","FWS","Coldwater River National Wildlife Refuge",2159,2514,0.86,"0",17
"129","yellowstarThistle","FWS","San Luis National Wildlife Refuge",15097,17874,0.84,"Yes (4)",0
"130","yellowstarThistle","FWS","Chickasaw National Wildlife Refuge",22568,26729,0.84,"0",112
"131","yellowstarThistle","FWS","Bitter Creek National Wildlife Refuge",12397,15035,0.82,"Yes (1)",0
"132","yellowstarThistle","FWS","Salt Plains National Wildlife Refuge",25927,32144,0.81,"0",255
"133","yellowstarThistle","FWS","Quivira National Wildlife Refuge",17711,22164,0.8,"0",328
"134","yellowstarThistle","FWS","Holla Bend National Wildlife Refuge",4797,6071,0.79,"0",187
"135","yellowstarThistle","FWS","Delevan National Wildlife Refuge",4598,5796,0.79,"0",3
"136","yellowstarThistle","FWS","Fish Springs National Wildlife Refuge",13511,17971,0.75,"0",56
"137","yellowstarThistle","FWS","Fern Cave National Wildlife Refuge",153,203,0.75,"0",194
"138","yellowstarThistle","FWS","Grand Cote National Wildlife Refuge",4473,6038,0.74,"0",253
"139","yellowstarThistle","FWS","Wallkill River National Wildlife Refuge",4332,6040,0.72,"0",41
"140","yellowstarThistle","FWS","Reelfoot National Wildlife Refuge",7385,10429,0.71,"0",161
"141","yellowstarThistle","FWS","Attwater Prairie Chicken National Wildlife Refuge",7361,10578,0.7,"0",122
"142","yellowstarThistle","FWS","Deep Fork National Wildlife Refuge",7334,10494,0.7,"0",175
"143","yellowstarThistle","FWS","Klamath Marsh National Wildlife Refuge",28532,41869,0.68,"0",17
